Full Name;First Name;Last Name;Job Title;Primary Company;Ticker
Peter Spuhler;Peter;Spuhler;Non-Executive Independent Chairman of the Board;Stadler Rail AG;SRAIL.S
Christoph Aeschlimann;Christoph;Aeschlimann;Chairman of the Executive Board, Chief Executive Officer;Swisscom AG;SCMN.S
Sergio Ermotti;Sergio;Ermotti;Chairman of the Executive Board, Group Chief Executive Officer;UBS Group AG;UBSG.S
Christian Schmid;Christian;Schmid;Chairman of the Management Board, Chief Executive Officer;St Galler Kantonalbank AG;SGKN.S
Geraldine Picaud;Geraldine;Picaud;Chief Executive Officer;SGS SA;SGSN.S
Magdalena Martullo-Blocher;Magdalena;Martullo-Blocher;Chief Executive Officer, Executive Vice Chairman of the Board, Member of the Executive Management;Ems Chemie Holding AG;EMSN.S
David Layton;David;Layton;Chief Executive Officer, Head Private Equity, Member of the Executive Team and Global Executive Board;Partners Group Holding AG;PGHN.S
Daniel Ducrey;Daniel;Ducrey;Chief Executive Officer, Member of the Executive Board;Mobimo Holding AG;MOBN.S
Denis Machuel;Denis;Machuel;Chief Executive Officer, Member of the Executive Committee;Adecco Group AG;ADEN.S
Armin Brun;Armin;Brun;Chief Executive Officer, Member of the Management Board;Berner Kantonalbank AG;BEKN.S
Suzanne Thoma;Suzanne;Thoma;Executive Chairman of the Board, Chief Executive Officer, Member of the Executive Committee;Sulzer AG;SUN.S
Gabriel Brenna;Gabriel;Brenna;Group Chief Executive Officer, Head of Private Banking Division, Member of the Management Board and Group Executive Board;Liechtensteinische Landesbank AG;LLBN.S
Volker Cwielong;Volker;Cwielong;Chief Executive Officer;Dätwyler Holding AG ;DAE.S
Robert Itschner;Robert;Itschner;Chief Executive Officer, Member of the Executive Board;BKW AG;BKWB.S
André Muller;André;Muller;Chief Executive Officer, Chief Financial Officer, Member of the Executive Board;Idorsia Ltd;IDIA.S
Michael Süss;Michael;Süss;Executive Chairman of the Board;OC Oerlikon Corporation AG Pfaeffikon;OERL.S
Till Reuter;Till;Reuter;Chief Executive Officer;Dormakaba Holding AG;DOKA.S
Fabrice Billard;Fabrice;Billard;Chief Executive Officer;Burckhardt Compression Holding AG;BCHN.S
Jean-Pascal Bobst;Jean-Pascal;Bobst;Chief Executive Officer;Bobst Group SA;BBBSF.S
Giulio Vitarelli;Giulio;Vitarelli;Chief Executive Officer;VZ Holding;VZN.S
Claudius Moor;Claudius;Moor;Chief Executive Officer;Arbonia AG;ARBNO.S
Omar El Hamamsy;Omar;El Hamamsy;Chief Executive Officer;Orascom Development Holding AG;ODHN.S
Lukas Ruflin;Lukas;Ruflin;Chief Executive Officer, Member of the Executive Committee;Leonteq AG;LEON.S
Elmar Zumbuehl;Elmar;Elmar Zumbühl;Group Chief Executive Officer, Member of Group the Management Board;GAM Holding AG;GAMH.S
André Wyss;André;Wyss;Chief Executive Officer, Member of the Group Executive Board;Implenia AG;IMPN.S
Filip De Spiegeleire;Filip;De Spiegeleire;Chief Executive Officer, Member of the Management Board;Orior AG;ORON.S
Matthias Kottmann;Matthias;Kottmann;Leiter Geschäftsbereich Private Vermögens- und Finanzberatung;Basellandschaftliche Kantonalbank;BLKB.S
Gerold Brütsch;Gerold;Brütsch;Chief Financial Officer;CPH Group AG;CPHN.S
Camila Japur;Camila;Japur;Chief Financial Officer;U Blox Holding AG;UBXN.S
Christoph Auchli;Christoph;Auchli;Stv. CEO und Stv. Vorsitzender der Konzernleitung, Leiter Bereich Finanzen und Risiko;Basler Kantonalbank;BSKP.S
Diego Fiorentini;Diego;Fiorentini;Chief Financial Officer;Lastminute.com NV;LMN.S
Oliver Neubrand;Oliver;Neubrand;Chief Financial Officer;IVF Hartmann Holding AG;VBSN.S
Kalina Scott;Kalina;Scott;Chief Financial Officer;Ascom Holding AG;ASCN.S
Roger Brechbühler;Roger;Brechbühler;Direktor des Bereichs Privat- und Firmenkunden;Hypothekarbank Lenzburg AG;HBLN.S
Thomas Löhr;Thomas;Löhr;Chief Financial Officer;Swiss Steel Holding AG;STLN.S
Anne Brique;Anne;Brique;Legal Affairs;Kudelski SA;KUD.S
Pierre Lechartier;Pierre;Lechartier;Chief Financial Officer;Valora Holding AG;VALN.S
Lars Birkmann;Lars;Birkmann;Chief Financial Officer;Achiko AG;ACHI.S
Lénaïc Teyssédou;Lénaïc;Teyssédou;Head of Finance;Addex Therapeutics Ltd;ADXN.S
Markus Reber;Markus;Reber;Chief Financial Officer;Adval Tech Holding AG;ADVN.S
Séverine Vanderschueren;Séverine;Vanderschueren;Chief Administrative Officer;Aevis Victoria SA;AEVS.S
John O'Hara;John;O'Hara;Chief Financial Officer;WISeKey International Holding AG;WIHN.S
Lukas Kothbauer ;Lukas;Kothbauer ;Chief Financial Officer;Aluflexpack AG;AFP.S
Dominik Franke;Dominik;Franke;Information Technology;APG SGA AG;APGN.S
Ralph Beney;Ralph;Beney;Chief Financial Officer;Arundel AG;ARON.S
Christophe Toitot;Christophe;Toitot;Chief Operations Officer;Aryzta AG;ARYN.S
Daniel Sutter;Daniel;Sutter;Chief Financial Officer;Asmallworld AG;ASWN.S
Bernhard Wiehl;Bernhard;Wiehl;Chief Financial Officer;Autoneum Holding AG;AUTN.S
Alain Schaffter;Alain;Schaffter;Chief Financial Officer;Bachem Holding AG;BANB.S
René Grieder;René;Grieder;Chief Financial Officer;Zehnder Group AG;ZEHN.S
Mirko Käppeli;Mirko;Käppeli;Chief Financial Officer;Zug Estates Holding AG;ZUGN.S
