﻿Full Name,First Name,Last Name,Job Title,Primary Company,Ticker
Jensen Huang,Jensen,Huang,President and Chief Executive Officer and Director,NVIDIA Corp,NVDA.O
Reinhard Florey,Reinhard,Florey,Chief Financial Officer and Member of the Executive Board,OMV AG,OMVV.VI
Jozsef Voros,Jozsef,Voros,Non-Executive Member of the Board of Directors,OTP Bank Nyrt,OTPB.BU
Kazuhiro Tsuga,Kazuhiro,Tsuga,Chairman of the Board,Panasonic Holdings Corp,6752.T
Marty Mucci,Marty,Mucci,Chairman of the Board,Paychex Inc,PAYX.O
Dan Schulman,Dan,Schulman,President and Chief Executive Officer and Director,PayPal Holdings Inc,PYPL.O
Houliang Dai,Houliang,Dai,Chairman of the Board,PetroChina Co Ltd,601857.SS
Clarice Coppetti,Clarice,Coppetti,Interim Chief Executive Officer and Member of the Executive Board,Petroleo Brasileiro SA Petrobras,PETR4.SA
Cristiano Amon,Cristiano,Amon,President and Chief Executive Officer and Director,Qualcomm Inc,QCOM.O
Guy Meldrum,Guy,Meldrum,President and Chief Executive Officer,Reynolds American Inc,
Dagmar Muth,Dagmar,Muth,Member of the Supervisory Board and Employee Representative,Rheinmetall AG,RHMG.DE
Dominic Barton,Dominic,Barton,Chairman of the Board,Rio Tinto PLC,RIO.L
Dave McKay,Dave,McKay,President and Chief Executive Officer and Director,Royal Bank of Canada,RY.TO
Christopher Calio,Christopher,Calio,President and Chief Executive Officer and Director,RTX Corp,RTX
Michael Mueller,Michael,Mueller,Chief Financial Officer and Member of the Executive Board,RWE AG,RWEG.DE
Xiaoqiu Wang,Xiaoqiu,Wang,Chairman of the Board,SAIC Motor Corp Ltd,600104.SS
Heike Steck,Heike,Steck,Independent Member of the Supervisory Board,SAP SE,SAPG.DE
Florian Funck,Florian,Funck,Chief Financial Officer and Member of the Executive Board,Sartorius AG,SATG.DE
Jean-Pascal Tricoire,Jean-Pascal,Tricoire,Chairman of the Board,Schneider Electric SE,SCHN.PA
